,School,Date_announced,In_effect_from,Effective_until,Num_on_day,Precautions,,Src,Unnamed: 7
0,Bellevue College,3/5/20,3/6/20,,1,"Classes moved online, cafeteria closing March 9",,,
1,Lake Washington Institute of Technology,3/5/20,3/6/20,3/22/20,2,,,,
1,"Northeastern University, Seattle Campus",3/5/20,3/9/20,,3,Classes online,,https://news.northeastern.edu/coronavirus/university-messages/,
0,University of Washington,3/5/20,3/6/20,3/29/20,4,,,,
2,Stanford University,3/6/20,3/6/20,Indefinitely,1,Vacate dorms,,,
2,Brandman University,3/6/20,3/9/20,,2,"All blended courses shifted online, campus remains open",,,
3,Everett Community College,3/6/20,3/9/20,,3,Classes moved online,,,
5,Seattle Pacific University,3/6/20,"March 09, 2020-March 19, 2020",,4,"Classes and finals moved online, campus remains open",,,
4,Seattle University,3/6/20,3/9/20,3/29/20,5,,,,
7,Shoreline Community College,3/6/20,"March 10, 2020-March 25, 2020",,6,"Classes moved online, campus remains open",,,
9,Touro College,3/6/20,3/9/20,,7,Classes online for four days ÌÄå¢Ì¢‰Û_åÂÌÉ‰ÛÏto prepare for academic continuity in case in-person classes will need to be canceled.ÌÄå¢Ì¢‰Û_åÂÌâå,,,
3,University of Southern California,3/6/20,3/11/20,3/29/20,8,Extended,,,
927,"University of Washington, Bothell",3/6/20,3/9/20,3/29/20,9,,,https://www.washington.edu/coronavirus/,
928,"University of Washington, Seattle",3/6/20,3/9/20,3/29/20,10,,,https://www.washington.edu/coronavirus/,
929,"University of Washington, Tacoma",3/6/20,3/9/20,3/29/20,11,,,https://www.washington.edu/coronavirus/,
5,Midland University,3/7/20,3/13/20,End of semester,1,,,,
14,University of Puget Sound,3/7/20,3/9/20,,2,"Classes to move online March 9-13, all other services open",,,
88,"Northeastern University, San Francisco",3/7/20,3/9/20,6/30/20,3,,,https://news.northeastern.edu/coronavirus/university-messages/,
89,"Northeastern University, Silicon Valley",3/7/20,3/9/20,6/30/20,4,,,https://news.northeastern.edu/coronavirus/university-messages/,
15,Barnard College,3/8/20,3/9/20,,1,Vacate dorms,,,
6,Columbia University,3/8/20,3/9/20,3/29/20,2,Vacate dorms,,,
9,Fordham University,3/8/20,3/9/20,Indefinitely,3,,,,
17,Hofstra University,3/8/20,3/9/20,,4,In-person classes cancelled after a student reported flu-like symptoms following attending a conference where someone tested positive for COVID-19,,,
18,Palo Alto University,3/8/20,3/9/20,,5,"All classes to go online until end of winter quarter, campus remains open",,,
8,Princeton University,3/8/20,3/23/20,Indefinitely,6,,,,
7,Rice University,3/8/20,3/9/20,3/13/20,7,,,,
20,Yeshiva University,3/8/20,"March 09, 2020-March 16, 2020",,8,Undergraduate classes cancelled,,,
920,Pacific Lutheran University,3/8/20,3/10/20,3/29/20,9,,,https://www.plu.edu/chws/coronavirus/messages-coronavirus/,
11,Amherst College,3/9/20,3/12/20,Indefinitely,1,Vacate dorms,,,
22,Cascadia College,3/9/20,3/9/20,,6,"Classes moved online, student center open, dining services closed",,,
17,City College of San Francisco,3/9/20,3/10/20,5/21/20,10,,,,
24,Hastings College,3/9/20,3/12/20,,4,"Classes suspended March 12 before spring break, students to prepare for online options going forward",,,
25,Iona College,3/9/20,3/9/20,,5,"In-person classes cancelled, students urged to go home by March 10",,,
27,New York University,3/9/20,3/11/20,,2,Vacate dorms,,,
16,San Francisco State University,3/9/20,3/10/20,4/5/20,8,,,,
14,Santa Clara University,3/9/20,3/10/20,4/13/20,9,,,,
34,Stony Brook University,3/9/20,3/23/20,,3,Vacate dorms,,,
10,"University of California, Berkeley",3/9/20,3/10/20,End of semester,11,Extended,,,
13,"University of California, San Diego",3/9/20,3/30/20,End of Spring Quarter,12,Lab classes can continue,,,
15,Vanderbilt University,3/9/20,3/9/20,3/30/20,13,,,,
913,Bellingham Technical College,3/9/20,3/21/20,6/30/20,14,,,https://www.btc.edu/AboutBTC/Safety/campushealth.asp,
624,Manhattan College,3/9/20,3/10/20,6/30/20,15,,,https://manhattan.edu/coronavirus-updates/index.php,
554,Monmouth University,3/9/20,3/9/20,6/30/20,16,,,https://www.monmouth.edu/covid-19/march-17-2020/,
921,Seattle Central College,3/9/20,3/10/20,3/30/20,17,,,http://www.seattlecolleges.edu/district/emergencies/coronavirus.aspx,
925,South Seattle College,3/9/20,3/10/20,3/30/20,18,,,https://westseattleblog.com/2020/03/coronavirus-south-seattle-college-closing-campus-after-student-tests-positive-for-covid-19/,
918,North Seattle College,3/9/20,3/10/20,3/30/20,19,,,http://www.seattlecolleges.edu/district/emergencies/coronavirus.aspx,
654,St. John's University,3/9/20,3/10/20,3/29/20,7,,,https://www.stjohns.edu/life-st-johns/health-and-wellness/student-health-services/coronavirus-disease-2019-covid-19,
19,Harvard University,3/10/20,3/15/20,Indefinitely,1,Vacate dorms,,,
24,"Massachusetts Institute of Technology, MIT",3/10/20,3/16/20,Indefinitely,2,Vacate dorms,,,
18,The Ohio State University,3/10/20,3/10/20,Indefinitely,3,Vacate dorms,,,
27,Tufts University,3/10/20,3/11/20,Indefinitely,4,Vacate dorms,,,
39,Kent State University,3/10/20,3/10/20,4/12/20,5,Vacate dorms,,,
26,Mount Holyoke College,3/10/20,3/11/20,Indefinitely,6,Vacate dorms,,,
21,Smith College,3/10/20,3/30/20,Indefinitely,7,Vacate dorms,,,
23,University of New Haven,3/10/20,3/10/20,3/25/20,8,Vacate dorms,,,
754,Indiana University of Pennsylvania,3/10/20,3/12/20,5/8/20,9,Vacate dorms,,https://www.iup.edu/news-events/coronavirus-information/,
697,Capital University,3/10/20,3/11/20,4/28/20,10,Vacate dorms,,https://www.capital.edu/coronavirus/,
699,Central State University,3/10/20,3/12/20,5/9/20,11,Vacate dorms,,https://www.centralstate.edu/PR/index2.php?num=106,
28,Bucknell University,3/10/20,3/11/20,Indefinitely,12,Vacate dorms,,,
75,Denison University,3/10/20,3/23/20,4/3/20,13,Vacate dorms,,,
22,Grinnell College,3/10/20,3/23/20,Indefinitely,14,Vacate dorms,,,
25,Babson College,3/10/20,3/13/20,Indefinitely,15,Vacate dorms,,,
20,Berea College,3/10/20,3/13/20,Semester declared over,16,Vacate dorms,,,
723,Wright State University,3/10/20,3/16/20,5/1/20,17,Vacate dorms,,https://www.wright.edu/coronavirus,
724,Xavier University,3/10/20,3/13/20,5/22/20,18,Vacate dorms,,https://www.xavier.edu/coronavirus/,
569,Adelphi University,3/10/20,3/11/20,6/30/20,19,Vacate dorms,,https://health.adelphi.edu/coronavirus-information/,
695,Baldwin Wallace College,3/10/20,3/10/20,6/30/20,20,Vacate dorms,,https://www.bw.edu/advisory/coronavirus/,
765,Muhlenberg College,3/10/20,3/13/20,6/30/20,21,Vacate dorms,,https://www.muhlenberg.edu/offices/healthcenter/coronavirus/,
390,Salisbury University,3/10/20,3/12/20,6/30/20,22,Vacate dorms,,,
721,Walsh University,3/10/20,3/13/20,6/30/20,23,Vacate dorms,,https://www.walsh.edu/coronavirus.html,
73,Bowie State University,3/10/20,3/12/20,4/5/20,24,,,,
50,Miami University,3/10/20,3/10/20,4/12/20,25,,,,
38,Akron University,3/10/20,3/10/20,Indefinitely,26,"Classes cancelled from today, will resume online after Spring Break",,,
34,Case Western Reserve University,3/10/20,3/10/20,Indefinitely,27,,,,
43,Colgate University,3/10/20,3/14/20,,28,"Students encouraged to stay on campus during spring recess March 14-22, online courses March 23-April 20",,,
58,Colorado College,3/10/20,3/11/20,4/27/20,29,,,,
51,Cornell University,3/10/20,4/6/20,Indefinitely,30,,,,
60,Duke University,3/10/20,3/23/20,Indefinitely,31,,,,
46,Emerson College,3/10/20,3/13/20,,32,"Last in-person classes March 13, classes cancelled March 16-20, remote learning starts March 23, students can remain on campus",,,
47,Fairleigh Dickinson Unversity,3/10/20,3/16/20,,33,"Classes moved online, university remains open",,,
72,George Washington University,3/10/20,3/23/20,4/5/20,34,,,,
37,Indiana University,3/10/20,3/23/20,4/5/20,35,,,,
64,Johns Hopkins University,3/10/20,3/11/20,4/12/20,36,,,,
55,Loyola Marymount University,3/10/20,3/16/20,,37,"Remote instruction March 16-31, campus will accommodate students who need to stay",,,
56,Maryville University,3/10/20,"March 16, 2020-March 30, 2020",,38,Remote learning March 16-30,,,
58,Middlebury College,3/10/20,3/13/20,,39,"Spring break begins March 13 for 2 weeks, remote classes to start March 30, students must leave campus unless extenuating circumstances",,,
63,Molloy College,3/10/20,3/10/20,3/28/20,40,,,,
74,Morgan University,3/10/20,3/16/20,4/5/20,41,,,,
57,Northeast Ohio Medical University,3/10/20,3/11/20,4/3/20,42,,,,
60,Ohio University,3/10/20,3/10/20,,43,In-person instruction suspended until at least March 30,,,
61,Ohio Wesleyan Unviersity,3/10/20,3/16/20,,44,"Classes cancelled March 16-17, courses to move to remote learning March 18-29",,,
62,Pace University,3/10/20,"March 11, 2020-March 29, 2020",,45,Classes to move to remote learning,,,
49,Purdue University,3/10/20,3/23/20,Indefinitely,46,,,,
54,Quinnipiac University,3/10/20,3/16/20,3/22/20,47,"Monday and Tuesday cancelled, begin online Wednesday",,,
70,Ramapo College,3/10/20,3/16/20,4/5/20,48,Spring break extended,,,
33,Rensselaer Polytechnic Institute,3/10/20,3/12/20,3/30/20,49,,,,
36,Rowan University,3/10/20,3/16/20,3/27/20,50,"Spring break extended, not online class",,,
32,Rutgers University,3/10/20,3/12/20,4/3/20,51,,,,
46,Sacred Heart University,3/10/20,3/11/20,3/29/20,52,Lab classes can continue,,,
67,Saint Louis University,3/10/20,3/15/20,,53,"In-person classes suspended week of March 15, future decisions will be made",,,
65,San Diego State University,3/10/20,4/6/20,Indefinitely,54,,,,
29,San Jose State University,3/10/20,3/10/20,3/13/20,55,,,,
43,Skidmore College,3/10/20,3/10/20,3/22/20,56,,,,
71,Southern Connecticut State University,3/10/20,3/10/20,4/5/20,57,,,,
56,Stark State College,3/10/20,3/16/20,Indefinitely,58,,,,
76,Stockton University,3/10/20,3/23/20,4/5/20,59,Spring break extended through March 25,,,
45,Syracuse University,3/10/20,3/13/20,3/29/20,60,Students are encouraged to leave ASAP,,,
40,Texas A&M University,3/10/20,3/10/20,3/18/20,61,,,,
70,The King's College,3/10/20,3/11/20,3/29/20,62,"Classes to move online March 11, remote teaching will continue after spring break on March 27",,https://go.tkc.edu/covid-19-information/,
44,The New School,3/10/20,3/23/20,3/27/20,63,,,,
71,Towson University,3/10/20,3/11/20,,64,"Classes cancelled March 11, remote learning to start after spring break",,,
52,"University of California, Davis",3/10/20,3/16/20,3/20/20,65,In-person exams cancelled,,,
62,"University of California, Irvine",3/10/20,3/16/20,Indefinitely,66,,,,
61,"University of California, Los Angeles",3/10/20,3/11/20,End of quarter,67,Extended,,,
48,"University of California, Riverside",3/10/20,3/11/20,Through Spring Quarter,68,,,,
75,"University of California, Santa Barabara",3/10/20,3/11/20,,69,"Remote instruction until end of April, campus open with limited services",,,
35,"University of California, Santa Cruz",3/10/20,3/11/20,4/3/20,70,Lab classes can continue,,,
59,University of Cincinnati,3/10/20,3/16/20,4/13/20,71,,,,
55,University of Dayton,3/10/20,3/10/20,4/3/20,72,"Two weeks break, two weeks online",,,
66,University of Maryland,3/10/20,3/23/20,4/10/20,73,,,,
394,"University of Maryland, Baltimore County",3/10/20,3/14/20,6/30/20,74,,,,
395,"University of Maryland, Baltimore",3/10/20,3/14/20,6/30/20,75,,,,
396,"University of Maryland, College Park",3/10/20,3/14/20,6/30/20,76,,,,
397,"University of Maryland, Eastern Shore",3/10/20,3/14/20,6/30/20,77,,,,
398,"University of Maryland, Hagerstown",3/10/20,3/14/20,6/30/20,78,,,,
42,University of Toledo,3/10/20,3/16/20,Indefinitely,79,,,,
53,"University of Wisconsin, Milwaukee",3/10/20,3/13/20,3/29/20,80,Spring break extended,,,
80,West Chester University,3/10/20,3/10/20,,81,Courses to resume remotely March 30,,,
67,West Virginia University,3/10/20,3/16/20,Indefinitely,82,Spring break extended,,,
31,Westchester University of Pennsylvania,3/10/20,3/30/20,Rest of the semester,83,,,,
77,Western Washington University,3/10/20,3/11/20,3/20/20,84,,,,
68,"Xavier University, Ohio",3/10/20,3/10/20,4/14/20,85,,,,
69,Yale University,3/10/20,3/16/20,4/15/20,86,Spring break currently,,,
47,Academy of Art University,3/10/20,3/11/20,3/30/20,87,,,https://www.academyart.edu/academy-of-art-universitys-response-to-covid-19-coronavirus/,
255,Boise State University,3/10/20,3/13/20,5/11/20,88,,,https://www.boisestate.edu/publicsafety-emergencymanagement/2020/03/10/campus-wide-emergency-preparation-set-for-friday-mar-13/,
738,Arcadia University,3/10/20,3/12/20,5/5/20,89,,,https://www.arcadia.edu/university/emergency-communications/coronavirus-university-updates-and-information,
696,Bowling Green State University,3/10/20,3/23/20,6/30/20,90,,,https://www.bgsu.edu/coronavirus.html,
790,Bryant University,3/10/20,3/17/20,3/27/20,91,,,http://emergency.bryant.edu/corona-related/,
51,California Institute of the Arts,3/10/20,3/11/20,6/30/20,92,,,https://calarts.edu/about/news-and-events/press-kit/press-releases/artmid/1813/articleid/7151/preview/true,
704,"Hebrew Union College, Cincinnati",3/10/20,3/10/20,6/30/20,93,,,http://huc.edu/news/2020/03/17/covid-19-Ì¢‰âÂå¡ÌÄ‰Û¼ÌÄ‰Ûª-planning-and-preparedness,
307,"Indiana University, Bloomington",3/10/20,3/16/20,6/30/20,94,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
308,"Indiana University, East",3/10/20,3/16/20,6/30/20,95,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
309,"Indiana University, Fort Wayne",3/10/20,3/16/20,6/30/20,96,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
