School,ind,Date_announced,In_effect_from,Effective_until,Diff,Precautions,Endowment_18,Src,Num_on_day,Rank,Unitid1,City,State,"FY17 Endowment (in $1,000s)",Change in Market Value (%)2,Fall 2017 Full-time Equivalent (FTE) Students3, FY18 Endowment Value per FTE Student ($) ,IPEDS Sector4,IPEDS HBCU Indicator5,IPEDS Carnegie Classification6
Abraham Baldwin Agricultural College,191,3/16/20,3/16/20,3/29/20,12,,,https://www.usg.edu/coronavirus,,,,,,,,,,,,
Academy of Art University,47,3/10/20,3/11/20,3/30/20,87,,,https://www.academyart.edu/academy-of-art-universitys-response-to-covid-19-coronavirus/,,,,,,,,,,,,
Adams State University,118,3/12/20,3/23/20,4/3/20,252,,,,,,,,,,,,,,,
Adelphi University,569,3/10/20,3/11/20,6/30/20,19,Vacate dorms,183404.00,https://health.adelphi.edu/coronavirus-information/,,350,188429,Garden City,NY,"175,802",4.3,"7,068","25,949",2,2,2
Adirondack Community College,570,3/11/20,3/11/20,6/30/20,166,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,,,,,,,,,,,,
Agnes Scott College,192,3/13/20,3/13/20,4/3/20,4,Vacate dorms,229426.00,https://www.agnesscott.edu/coronavirus/index.html,,299,138600,Decatur,GA,"229,887",-0.2,916,"250,465",2,2,4
Akron University,38,3/10/20,3/10/20,Indefinitely,26,"Classes cancelled from today, will resume online after Spring Break",,,,,,,,,,,,,,
Alabama A&M University,0,3/12/20,3/16/20,6/30/20,5,Vacate dorms,46077.00,https://www.aamu.edu/about/inside-aamu/news/aamu-coronavirus-update.html,,655,100654,Normal,AL,"43,515",5.9, N/A , N/A ,1,1,3
Alabama State University,1,3/12/20,3/12/20,6/30/20,95,,,https://www.alabamanews.net/2020/03/12/asu-closing-campus-for-remainder-of-spring-semester-following-spring-break-vacation/,,,,,,,,,,,,
Albany State University,193,3/16/20,3/16/20,3/29/20,13,,,https://www.usg.edu/coronavirus,,,,,,,,,,,,
Albertus Magnus College,133,3/15/20,3/15/20,3/29/20,7,,,,,,,,,,,,,,,
Albion College,410,3/13/20,3/16/20,6/30/20,3,Vacate dorms,167983.00,https://www.albion.edu/student-life/health-services/covid-19,,371,168546,Albion,MI,"175,619",-4.3,"1,560","107,681",2,2,4
Alcorn State University,480,3/12/20,3/12/20,6/30/20,66,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,,,,,,,,,,,,
Alfred State College,571,3/11/20,3/11/20,6/30/20,167,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,,,,,,,,,,,,
Allegheny College,737,3/11/20,3/11/20,5/5/20,230,,220836.00,https://sites.allegheny.edu/emergency/coronavirus/,,306,210669,Meadville,PA,"204,513",8,"1,769","124,858",2,2,4
Alverno College,936,3/12/20,3/11/20,3/23/20,253,,,https://www.concord.edu/Student-Life/Student-Health-Wellness/Coronavirus-(1.aspx,,,,,,,,,,,,
American River College,48,3/12/20,3/13/20,6/30/20,67,,,https://losrios.edu/coronavirusupdate,,,,,,,,,,,,
American University,30,3/10/20,3/18/20,4/3/20,137,,695025.00,,,159,131159,Washington,DC,"647,138",7.4,"11,942","58,200",2,2,2
Amherst College,11,3/9/20,3/12/20,Indefinitely,1,Vacate dorms,2377537.00,,,44,164465,Amherst,MA,"2,248,141",5.8,"1,836","1,294,955",2,2,4
Anderson University,794,3/11/20,3/16/20,6/30/20,231,,,https://www.andersonuniversity.edu/thrive-wellness/covid-19/updates/changes-to-operations,,,,,,,,,,,,
Appalachian State University,81,3/11/20,Extending spring break until 8am on March 23. University remains open.,,194,,107603.00,,,,,,,,,,,,,
Arcadia University,738,3/10/20,3/12/20,5/5/20,89,,71753.00,https://www.arcadia.edu/university/emergency-communications/coronavirus-university-updates-and-information,,564,211088,Glenside,PA,"68,859",4.2,"3,035","23,642",2,2,3
Arizona State University,146,3/11/20,3/16/20,3/29/20,220,,720565.00,,,,,,,,,,,,,
"Arizona State University, Downtown Phoenix",40,3/11/20,3/16/20,6/30/20,168,,,https://eoss.asu.edu/health/announcements/coronavirus,,,,,,,,,,,,
"Arizona State University, Polytechnic",41,3/11/20,3/16/20,6/30/20,169,,,https://eoss.asu.edu/health/announcements/coronavirus,,,,,,,,,,,,
"Arizona State University, Tempe",42,3/11/20,3/16/20,6/30/20,170,,,https://eoss.asu.edu/health/announcements/coronavirus,,,,,,,,,,,,
"Arizona State University, West",43,3/11/20,3/16/20,6/30/20,171,,,https://eoss.asu.edu/health/announcements/coronavirus,,,,,,,,,,,,
Arkansas State University,160,3/12/20,3/13/20,4/10/20,20,,,,,,,,,,,,,,,
Arkansas Tech University,34,3/12/20,3/16/20,4/10/20,96,,,https://www.5newsonline.com/article/news/health/coronavirus/arkansas-tech-cancels-inperson-classes-coronavirus/527-7698f2f5-57d4-45f6-9fe0-11c62a5c18f2,,,,,,,,,,,,
Asnuntuck Community College,134,3/15/20,3/15/20,3/29/20,8,,,,,,,,,,,,,,,
Atlanta Metropolitan State College,194,3/16/20,3/16/20,3/29/20,14,,,https://www.usg.edu/coronavirus,,,,,,,,,,,,
Auburn University,2,3/12/20,3/16/20,4/10/20,97,,,https://ocm.auburn.edu/newsroom/news_articles/2020/03/121240-coronavirus-remote-transition.php,,,,,,,,,,,,
Augusta University,195,3/16/20,3/16/20,3/29/20,15,,,https://www.usg.edu/coronavirus,,,,,,,,,,,,
Augustana College,256,3/13/20,3/14/20,3/29/20,35,,168134.00,https://augustana.edu/about-us/news/information-statement-regarding-coronavirus,,369,143084,Rock Island,IL,"159,525",5.4,"2,640","63,687",2,2,4
Augustana University,189,3/13/20,3/23/20,4/10/20,5,,,,,,,,,,,,,,,
Austin Peay State University,822,3/13/20,3/16/20,6/30/20,36,,,https://apsu.edu/coronavirus/,,,,,,,,,,,,
Averett University,880,3/12/20,3/18/20,4/1/20,98,,22369.00,https://www.averett.edu/student-life/campus-security/livesafe/,,757,231420,Danville,VA,"20,264",10.4,898,"24,910",2,2,4
Azusa Pacific University,190,3/12/20,March 16 through end of semester,,21,,,,,,,,,,,,,,,
Babson College,25,3/10/20,3/13/20,Indefinitely,15,Vacate dorms,420115.00,,,211,164580,Babson Park,MA,"389,539",7.8,"2,342","179,383",2,2,5
Baldwin Wallace College,695,3/10/20,3/10/20,6/30/20,20,Vacate dorms,,https://www.bw.edu/advisory/coronavirus/,,,,,,,,,,,,
