,School,Date_announced,In_effect_from,Expected_leave,Final_leave,Diff,Effective_until,Num_on_day,Precautions,src,src2
2,Stanford University,3/6/20,3/9/20,,3/18/20,12.00,Indefinitely,1,Vacate dorms,https://healthalerts.stanford.edu/2020/03/06/online-classes-admit-weekend/,https://registrar.stanford.edu/academic-calendar#Spr
11,Amherst College,3/9/20,3/12/20,,3/18/20,9.00,Indefinitely,1,Vacate dorms,https://www.amherst.edu/news/covid-19/messages-for-the-college-community/node/766550,
18,The Ohio State University,3/10/20,3/10/20,3/14/20,3/22/20,12.00,Indefinitely,1,Vacate dorms,https://studentlife.osu.edu/articles/spring-semester-2020-move-out/,
19,Harvard University,3/10/20,3/14/20,,3/15/20,5.00,Indefinitely,2,Vacate dorms,https://www.harvard.edu/covid-19-moving-classes-online-other-updates,
20,Berea College,3/10/20,3/13/20,,3/14/20,4.00,Semester declared over,3,Vacate dorms,https://www.berea.edu/covid-19-plan/#1584032542802-091de4c4-1050,
21,Smith College,3/10/20,3/14/20,3/14/20,3/20/20,10.00,Indefinitely,4,Vacate dorms,https://www.smith.edu/student-life/health-wellness/coronavirus/faq,
22,Grinnell College,3/10/20,3/14/20,,3/23/20,13.00,Indefinitely,5,Vacate dorms,https://www.grinnell.edu/news/important-covid-19-planning-updates,
23,University of New Haven,3/9/20,3/10/20,3/10/20,3/11/20,2.00,25-Mar,6,Vacate dorms,https://www.newhaven.edu/coronavirus-info.php,
24,"Massachusetts Institute of Technology, MIT",3/10/20,3/16/20,3/14/20,3/17/20,7.00,Indefinitely,7,Vacate dorms,http://news.mit.edu/2020/letter-regarding-escalating-response-covid-19-0310,
25,Babson College,3/10/20,3/13/20,,3/21/20,11.00,Indefinitely,8,Vacate dorms,https://www.babson.edu/emergency-preparedness/coronavirus/community-messages/,
26,Mount Holyoke College,3/10/20,3/14/20,3/14/20,3/20/20,10.00,Indefinitely,9,Vacate dorms,https://www.mtholyoke.edu/advisories/72017/updated-and-important-information-about-covid-19,
27,Tufts University,3/10/20,3/13/20,,3/16/20,6.00,Indefinitely,10,Vacate dorms,https://coronavirus.tufts.edu/3-10-2020-presidents-message/,
28,Bucknell University,3/10/20,3/11/20,,3/17/20,7.00,Indefinitely,11,Vacate dorms,https://www.bucknell.edu/life-bucknell/health-wellness-safety/coronavirus-covid-19-updates/coronavirus-covid-19-messages,
78,Washington University in St. Louis,3/11/20,3/11/20,,3/15/20,4.00,30-Apr,1,Vacate dorms,https://emergency.wustl.edu/wp-content/uploads/2020/03/March-11-message-from-chancellor.pdf,
79,University of Pittsburgh,3/11/20,3/11/20,3/12/20,3/20/20,9.00,End of semester,2,Vacate dorms,https://www.emergency.pitt.edu/covid-19/undergraduate-students,
83,Boston College,3/11/20,3/12/20,3/12/20,3/15/20,4.00,Indefinitely,6,Vacate dorms,https://www.bc.edu/content/bc-web/sites/updates/coronavirus/mar11.html,
85,Tulane University,3/11/20,3/12/20,3/14/20,3/22/20,11.00,Indefinitely,8,Vacate dorms,https://tulane.edu/tulane-university-moves-online-instruction-cancels-large-events,
182,Simmons University,3/13/20,3/23/20,3/17/20,3/23/20,10.00,Indefinitely,1,Vacate dorms,https://www.simmons.edu/coronavirus/covid-19-communication-students-and-families-march-13-2020,
84,Brandeis University,3/11/20,3/20/20,,3/25/20,14.00,Indefinitely,7,Vacate dorms,https://www.brandeis.edu/health/coronavirus/2020-03-11-covid-19-update-changes-classes-operations.html,
